sku;category;product_name;brand;description;avg_price_rub;unit
DAI001;Молочные продукты и яйца;Молоко Простоквашино пастеризованное 2.5% 930 мл;Простоквашино;Пастеризованное коровье молоко для питья, каш и кофе;94.99;мл
DAI002;Молочные продукты и яйца;Молоко Домик в деревне пастеризованное 2.5% 930 мл;Домик в деревне;Пастеризованное молоко средней жирности для ежедневного рациона;89.99;мл
DAI003;Молочные продукты и яйца;Молоко Домик в деревне стерилизованное 3.2% 950 мл;Домик в деревне;Стерилизованное молоко длительного хранения для напитков и готовки;119.99;мл
DAI004;Молочные продукты и яйца;Молоко Село Новопышминское пастеризованное 2.5% 1 л;Село Новопышминское;Питьевое молоко из цельного и обезжиренного молока;59.99;л
DAI005;Молочные продукты и яйца;Кефир Простоквашино 3.2% 930 г;Простоквашино;Кисломолочный напиток на кефирных грибках;114.99;г
DAI006;Молочные продукты и яйца;Сметана Простоквашино 20% 300 г;Простоквашино;Густая сметана из нормализованных сливок для супов и соусов;109.99;г
DAI007;Молочные продукты и яйца;Сметана Зелёная Линия 20% 300 г;Зелёная Линия;Сметана без заменителя молочного жира для салатов и выпечки;120.99;г
DAI008;Молочные продукты и яйца;Творог Простоквашино 5% 200 г;Простоквашино;Рассыпчатый творог средней жирности для сырников и завтраков;94.99;г
DAI009;Молочные продукты и яйца;Творог Пестравка 5% 200 г;Пестравка;Кисломолочный творог без добавок с мягким вкусом;139.99;г
DAI010;Молочные продукты и яйца;Йогурт Даниссимо с хрустящими шариками и солёной карамелью 6.9% 105 г;Даниссимо;Десертный йогурт с добавкой для быстрого перекуса;69.99;г
DAI011;Молочные продукты и яйца;Коктейль йогуртовый Даниссимо клубничное мороженое 2.6% 190 г;Даниссимо;Питьевой йогуртовый коктейль со вкусом клубничного мороженого;89.99;г
DAI012;Молочные продукты и яйца;Масло сливочное ЭкоНива 82.5% 180 г;ЭкоНива;Традиционное сливочное масло для бутербродов и выпечки;179.99;г
DAI013;Молочные продукты и яйца;Масло сливочное Вкуснотеево Традиционное 82.5% 180 г;Вкуснотеево;Несоленое сладкосливочное масло высокой жирности;224.99;г
DAI014;Молочные продукты и яйца;Масло Брест-Литовск сладкосливочное 82.5% 180 г;Брест-Литовск;Сливочное масло из пастеризованных сливок для готовки и соусов;214.99;г
DAI015;Молочные продукты и яйца;Сыр Ламбер 50% 180 г;Ламбер;Полутвердый сыр в нарезке или куске для бутербродов и горячих блюд;279.99;г
